Country,Region,HappinessScore2015,HappinessScore2016,HappinessScore2017,DifferenceYoY_2015-2016,DifferenceYoY_2016-2017,DifferenceYoY_2015-2017,EconomyAvg_2015,EconomyAvg_2016,EconomyAvg_2017,FamilyAvg_2015,FamilyAvg_2016,FamilyAvg_2017,HealthLifeExpAvg_2015,HealthLifeExpAvg_2016,HealthLifeExpAvg_2017,FreedomAvg_2015,FreedomAvg_2016,FreedomAvg_2017,TrustGovtAvg_2015,TrustGovtAvg_2016,TrustGovtAvg_2017,GenerosityAvg_2015,GenerosityAvg_2016,GenerosityAvg_2017
Tunisia,Middle East and Northern Africa,4.739,5.045,4.804999828,-0.306,0.240000172,-0.065999828,0.88113,0.97724,1.007265806,0.60429,0.43165,0.86835146,0.73793,0.59577,0.613212049,0.26268,0.23553,0.28968069,0.06358,0.0817,0.049693357,0.06431,0.03936,0.086723149
Turkey,Middle East and Northern Africa,5.332,5.389,5.5,-0.057,-0.111,-0.168,1.06098,1.16492,1.198274374,0.94632,0.87717,1.337753177,0.73172,0.64718,0.637605608,0.22815,0.23889,0.3007406,0.15746,0.12348,0.046693042,0.12253,0.04707,0.09967158
United Arab Emirates,Middle East and Northern Africa,6.901,6.573,6.647999763,0.328,-0.074999763,0.253000237,1.42727,1.57352,1.626343369,1.12575,0.87114,1.266410232,0.80925,0.72993,0.726798236,0.64157,0.56215,0.60834527,0.38583,0.35561,0.360941947,0.26428,0.26591,0.324489564
Yemen,Middle East and Northern Africa,4.077,3.724,3.592999935,0.353,0.131000065,0.484000065,0.54649,0.57939,0.591683447,0.68093,0.47493,0.935382247,0.40064,0.31048,0.310080916,0.35571,0.2287,0.249463722,0.07854,0.05892,0.104125209,0.09131,0.09821,0.056767423
Canada,North America,7.427,7.404,7.315999985,0.023,0.088000015,0.111000015,1.32629,1.44015,1.479204416,1.32261,1.0961,1.481348991,0.90563,0.8276,0.834557652,0.63297,0.5737,0.611100912,0.32957,0.31329,0.435539722,0.45811,0.44834,0.287371516
United States,North America,7.119,7.104,6.993000031,0.015,0.110999969,0.125999969,1.39451,1.50796,1.546259284,1.24711,1.04782,1.419920564,0.86179,0.779,0.774286628,0.54604,0.48163,0.505740523,0.1589,0.14868,0.392578781,0.40105,0.41077,0.135638788
Philippines,Southeastern Asia,5.073,5.279,5.429999828,-0.206,-0.150999828,-0.356999828,0.70532,0.81217,0.857699215,1.03516,0.87877,1.253917575,0.58114,0.47036,0.468009055,0.62545,0.54854,0.585214674,0.12279,0.11757,0.193513423,0.24991,0.21674,0.099331893
Cambodia,Southeastern Asia,3.819,3.907,4.168000221,-0.088,-0.261000221,-0.349000221,0.46038,0.55604,0.601765096,0.62736,0.5375,1.006238341,0.61114,0.42494,0.429783404,0.66246,0.58852,0.633375823,0.07247,0.08092,0.385922968,0.40359,0.40339,0.068105951
Malaysia,Southeastern Asia,5.77,6.005,6.084000111,-0.235,-0.079000111,-0.314000111,1.12486,1.25142,1.29121542,1.07023,0.88025,1.284646034,0.72394,0.62366,0.618784428,0.53024,0.39031,0.402264982,0.10501,0.09081,0.41660893,0.33075,0.41474,0.065600708
Myanmar,Southeastern Asia,4.307,4.395,4.545000076,-0.088,-0.150000076,-0.238000076,0.27108,0.34112,0.36711055,0.70905,0.69981,1.123235941,0.48246,0.3988,0.397522569,0.44017,0.42692,0.514492035,0.19034,0.20243,0.838075161,0.79588,0.81971,0.188816205
